or,opt_time,pes_time,opt_minutes,pes_minutes,neighborhood,title,rent,bedrooms,pid,date,link,sqft,sourcepage,longitude,latitude,rent_sqft,region,index
37.3391+-121.9016,3448.0,5546.0,57.46666666666667,92.43333333333334,san jose south,Cute and private 1bd Cottage with tons of room,1350.0,1.0,4475358885.0,2014-05-17,http://sfbay.craigslist.org/sby/apa/4475358885.html,600.0,http://sfbay.craigslist.org/apa/index900.html,-121.9016,37.3391,2.25,sfbay,28
37.4601+-122.217084,2587.0,4390.0,43.11666666666667,73.16666666666667,atherton,4 bed 4 bath large estate West Atherton,7e3,4.0,4480340148.0,2014-05-20,http://sfbay.craigslist.org/pen/apa/4480340148.html,NA,http://sfbay.craigslist.org/apa/index800.html,-122.217084,37.4601,NA,sfbay,29
37.778852+-122.39275,549.0,1314.0,9.15,21.9,SOMA / south beach,FULLY FURNISHED Loft- Short Term OK - Pkg Incl,4750.0,1.0,4495195028.0,2014-05-29,http://sfbay.craigslist.org/sfc/apa/4495195028.html,1250.0,http://sfbay.craigslist.org/apa/index200.html,-122.39275,37.778852,3.8,sfbay,30
38.16176+-121.612437,4044.0,5717.0,67.4,95.28333333333333,pittsburg / antioch,$250. wkly STUDIO FULLY FURNISHED W CENTRAL HEAT & A/C,250.0,NA,4528679348.0,2014-06-19,http://sfbay.craigslist.org/eby/apa/4528679348.html,NA,http://sfbay.craigslist.org/apa/index1900.html,-121.612437,38.16176,NA,sfbay,31
37.9488+-122.050252,1978.0,3357.0,32.96666666666667,55.95,concord / pleasant hill / martinez,"1.5ba, Townhouse Apt, Pool, Clubhouse, WALK to Everything!",1350.0,2.0,4436413168.0,2014-05-21,http://sfbay.craigslist.org/eby/apa/4436413168.html,900.0,http://sfbay.craigslist.org/apa/index3200.html,-122.050252,37.9488,1.5,sfbay,32
37.636965+-122.462848,1671.0,3217.0,27.85,53.61666666666667,san bruno,"Enjoy clean,crisp living at the hilltop!",1895.0,1.0,4557136888.0,2014-07-07,http://sfbay.craigslist.org/pen/apa/4557136888.html,690.0,http://sfbay.craigslist.org/apa/index2200.html,-122.462848,37.636964999999996,2.746376811594203,sfbay,33
37.3764+-122.0238,3031.0,4961.0,50.516666666666666,82.68333333333334,sunnyvale,"Amazing Community, Affordable Rate, Visit us Today for Tour!!",2315.0,2.0,4470217047.0,2014-05-14,http://sfbay.craigslist.org/sby/apa/4470217047.html,920.0,http://sfbay.craigslist.org/apa/index1900.html,-122.0238,37.3764,2.516304347826087,sfbay,34
37.3764+-122.0238,3031.0,4961.0,50.516666666666666,82.68333333333334,sunnyvale,1BR with Lake View in Sunnyvale!,2223.0,1.0,4553861320.0,2014-07-05,http://sfbay.craigslist.org/sby/apa/4553861320.html,800.0,http://sfbay.craigslist.org/apa/index2100.html,-122.0238,37.3764,2.77875,sfbay,120
37.3764+-122.0238,3031.0,4961.0,50.516666666666666,82.68333333333334,sunnyvale,"Reno'd 13', 2x1 Cottage #18, Gas stove, yard, wood flrs! Move ASAP!",2803.0,2.0,4479663941.0,2014-05-20,http://sfbay.craigslist.org/sby/apa/4479663941.html,915.0,http://sfbay.craigslist.org/apa/index2300.html,-122.0238,37.3764,3.0633879781420763,sfbay,433
37.708034+-122.14132,1936.0,3265.0,32.266666666666666,54.416666666666664,san leandro,"Great floor plan, nice community, come checkus out!",1785.0,2.0,4519014573.0,2014-06-13,http://sfbay.craigslist.org/eby/apa/4519014573.html,885.0,http://sfbay.craigslist.org/apa/index2000.html,-122.14132,37.70803400000001,2.016949152542373,sfbay,35
37.9053+-122.0549,1993.0,3366.0,33.21666666666667,56.1,walnut creek,Newly Renovated 1 BD! Available NOW! CAll today!,1485.0,1.0,4483683922.0,2014-05-22,http://sfbay.craigslist.org/eby/apa/4483683922.html,600.0,http://sfbay.craigslist.org/apa/index400.html,-122.0549,37.9053,2.475,sfbay,36
38.369833+-121.980906,3601.0,5387.0,60.016666666666666,89.78333333333333,fairfield / vacaville,"Great Home 124 San Carlos Court, Vavaville, CA",1150.0,2.0,4542517531.0,2014-06-30,http://sfbay.craigslist.org/eby/apa/4542517531.html,824.0,http://sfbay.craigslist.org/apa/index3400.html,-121.980906,38.369833,1.395631067961165,sfbay,37
37.790292+-122.437495,765.0,1667.0,12.75,27.783333333333335,pacific heights,Victorian Studio Apartment,2e3,NA,4527276840.0,2014-06-18,http://sfbay.craigslist.org/sfc/apa/4527276840.html,NA,http://sfbay.craigslist.org/apa/index1100.html,-122.437495,37.790292,NA,sfbay,38
38.0685+-122.1614,2559.0,3995.0,42.65,66.58333333333333,vallejo / benicia,Sunset Villa Townhome-3 Bedroom!,1700.0,3.0,4523076266.0,2014-06-16,http://sfbay.craigslist.org/eby/apa/4523076266.html,NA,http://sfbay.craigslist.org/apa/index3200.html,-122.1614,38.0685,NA,sfbay,39
38.0685+-122.1614,2559.0,3995.0,42.65,66.58333333333333,vallejo / benicia,Benicia Highlands Condo,1600.0,2.0,4509128549.0,2014-06-07,http://sfbay.craigslist.org/eby/apa/4509128549.html,1087.0,http://sfbay.craigslist.org/apa/index1600.html,-122.1614,38.0685,1.4719411223551058,sfbay,418
